cn,0
kp,+1:0
kr,+1:0
jp,+1:0
mn,0
vn,-1:0
la,-1:0
kh,-1:0
th,-1:0
mm,0
my,0
sg,0
ph,0
id,-1:0
tl,+1:0
bn,0
in,0
pk,-3:0
bd,-2:0
bt,-2:0
np,-2:15
lk,0
mv,-3:0
kz,-2:0
uz,-3:0
kg,-2:0
tj,-3:0
tm,-3:0
af,0
ir,0
kw,-5:0
sa,-5:0
bh,-5:0
qa,-5:0
ae,-4:0
om,-4:0
ye,-5:0
iq,-5:0
sy,-6:0
lb,-6:0
ps,-6:0
am,-4:0
az,-4:0
ge,-4:0
il,-6:0
jo,-6:0
cy,-6:0
tr,-6:0
eg,-6:0
ly,-6:0
tn,-7:0
dz,-7:0
ma,-8:0
sd,-5:0
��,-5:0
mr,-8:0
sn,-8:0
gm,-8:0
ml,-8:0
gn,-8:0
gw,-8:0
sl,-8:0
lr,-8:0
ci,-8:0
gh,-8:0
tg,-8:0
bj,-7:0
bf,-8:0
ne,-7:0
ng,-7:0
td,-7:0
cm,-7:0
gq,-7:0
st,-8:0
cf,-7:0
ga,-7:0
ao,-7:0
cg,-7:0
cd,-7:0
bi,-6:0
rw,-6:0
ug,-5:0
ke,-5:0
et,-5:0
er,-5:0
so,-5:0
dj,-5:0
tz,-5:0
zm,-6:0
zw,-6:0
mw,-6:0
mz,-6:0
bw,-6:0
za,-6:0
ls,-6:0
sz,-6:0
na,-6:0
mg,-5:0
sc,-4:0
km,-5:0
mu,-4:0
cv,-9:0
ro,-6:0
bg,-6:0
rs,-7:0
rs,-7:0
me,-7:0
hr,-7:0
si,-7:0
ba,-7:0
mk,-7:0
gr,-6:0
al,-7:0
mc,-7:0
it,-7:0
va,-7:0
sm,-7:0
es,-7:0
ad,-7:0
pt,-8:0
mt,-7:0
uk,-8:0
ie,-8:0
nl,-7:0
be,-7:0
lu,-7:0
fr,-7:0
fi,-6:0
se,-7:0
no,-7:0
dk,-7:0
is,-8:0
de,-7:0
at,-7:0
ch,-7:0
li,-7:0
pl,-7:0
cz,-7:0
sk,-7:0
hu,-7:0
ru,-5:0
ua,-6:0
by,-6:0
md,-6:0
lt,-6:0
ee,-6:0
lv,-6:0
us,-13:0
ca,-13:0
mx,-14:0
gt,-14:0
hn,-14:0
bz,-14:0
sv,-14:0
ni,-14:0
cr,-14:0
pa,-13:0
cu,-13:0
ht,-13:0
do,-12:0
jm,-13:0
gd,-12:0
tt,-12:0
bb,-12:0
ag,-12:0
kn,-12:0
vc,-12:0
lc,-12:0
dm,-12:0
bs,-13:0
co,-13:0
ec,-13:0
pe,-13:0
cl,-12:0
gy,-12:0
sr,-11:0
ve,-12:0
br,-11:0
bo,-12:0
ar,-11:0
uy,-11:0
py,-12:0
au,+2:0
nz,+4:0
ws,-19:0
to,+5:0
fj,+4:0
pg,+2:0
sb,+3:0
vu,+3:0
nr,0
ki,+4:0
tv,+4:0
fm,+3:0
mh,+4:0
pw,+1:0
ck,-18:0
